Neterminál,!,!=,$,%,&&,||,(,),*,+,",",-,.,/,<,<=,=,==,>,>=,EOL,Ifj,Null,Num,String,import,class,static,var,if,else,while,return,id,global_id,gident,num_lit,str_lit,null,is,{,}
Program,,,,,,,,,,,,,,,,,,,,,,,,,,Program → Prolog Class,,,,,,,,,,,,,,,,
Prolog,,,,,,,,,,,,,,,,,,,,,,,,,,"Prolog → import ""ifj25"" for Ifj EOL",,,,,,,,,,,,,,,,
Class,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class → class ""Program"" { EOL FuncList }",,,,,,,,,,,,,,,
FuncList,,,FuncList → ε,,,,,,,,,,,,,,,,,,,,,,,,,FuncList → FuncDecl FuncList,,,,,,,,,,,,,,FuncList → ε
FuncDecl,,,,,,,,,,,,,,,,,,,,,,,,,,,,FuncDecl → static id FuncHead Block EOL,,,,,,,,,,,,,,
FuncHead,,,,,,,FuncHead → ( ParamListOpt ),,,,,,,,,,FuncHead → = ( id ),,,,,,,,,,,,,,,,,,,,,,,,FuncHead → ε,
ParamListOpt,,,,,,,,ParamListOpt → ε,,,,,,,,,,,,,,,,,,,,,,,,,,ParamListOpt → ParamList,,,,,,,,
ParamList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ParamList → id ParamTail,,,,,,,,
ParamTail,,,,,,,,ParamTail → ε,,,"ParamTail → , id ParamTail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Block → { EOL SequenceBlock },
SequenceBlock,,,,,,,,,,,,,,,,,,,,,,SequenceBlock → Sequence EOL SequenceBlock,,,,,,,SequenceBlock → Sequence EOL SequenceBlock,SequenceBlock → Sequence EOL SequenceBlock,,SequenceBlock → Sequence EOL SequenceBlock,SequenceBlock → Sequence EOL SequenceBlock,SequenceBlock → Sequence EOL SequenceBlock,SequenceBlock → Sequence EOL SequenceBlock,,,,,,SequenceBlock → Sequence EOL SequenceBlock,SequenceBlock → ε
Sequence,,,,,,,,,,,,,,,,,,,,,,Sequence → Ifj . id ( ArgListOpt ),,,,,,,Sequence → var id,Sequence → if ( Expr ) Block else Block,,Sequence → while ( Expr ) Block,Sequence → return Expr,Sequence → id = Expr,Sequence → global_id = Expr,,,,,,Sequence → Block,
ArgListOpt,,,,,,,,ArgListOpt → ε,,,,,,,,,,,,,,,,,,,,,,,,,,ArgListOpt → ArgList,ArgListOpt → ArgList,,ArgListOpt → ArgList,ArgListOpt → ArgList,ArgListOpt → ArgList,,,
ArgList,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgList → Term ArgTail,ArgList → Term ArgTail,,ArgList → Term ArgTail,ArgList → Term ArgTail,ArgList → Term ArgTail,,,
ArgTail,,,,,,,,ArgTail → ε,,,"ArgTail → , Term ArgTail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Term → id,Term → global_id,,Term → num_lit,Term → str_lit,Term → null,,,
