terminal       | Additive       | AdditiveTail   | AfterAssign    | ArgList        | ArgListOpt     | ArgTail        | Block          | Class          | EXPR           | Equality       | EqualityTail   | FuncDecl       | FuncHead       | FuncList       | FuncName       | IsExpr         | IsExprTail     | LogicAnd       | LogicAndTail   | LogicOr        | LogicOrTail    | Multiplicative | MultiplicativeTail | ParamList      | ParamListOpt   | ParamTail      | Primary        | PrimaryIdentTail | Program        | Prolog         | Relational     | RelationalTail | Stmt           | StmtList       | Term           | TypeKeyword    | Unary         
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!              | R57            |                | R25            |                |                |                |                |                | R38            | R45            |                |                |                |                |                | R48            |                | R42            |                | R39            |                | R60            |                |                |                |                |                |                |                |                | R54            |                |                |                |                |                | R63           
!=             |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
$              |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
%              |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
&&             |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R43            |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
(              | R57            |                | R25            |                |                |                |                |                | R38            | R45            |                |                | R7             |                |                | R48            |                | R42            |                | R39            |                | R60            |                |                |                |                | R69            | R72            |                |                | R54            |                |                |                |                |                | R64           
)              |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
*              |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R61            |                |                |                |                |                |                |                |                |                |                |                |                |                |               
+              |                | R58            |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
,              |                |                |                |                |                | R31            |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R13            |                |                |                |                |                |                |                |                |                |                |               
-              |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
.              |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
/              |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
<              |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                | R55            |                |                |                |                |               
<=             |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |                |               
